Icon_name,Icon_tags,mp4_link
Shipping,"hand,box,shipping,and,delivery,shipping,parcel",mp4/Shipping.mp4
Notebook,"education,book,notebook,bookmark,agenda",mp4/Notebook.mp4
HTML,"seo,and,web,web,website,coding,web,development",mp4/HTML.mp4
Fire,"nature,fire,flame,danger",mp4/Fire.mp4
Favorite,"star,favorite,shapes,and,symbols",mp4/Favorite.mp4
Flow chart,"business,and,finance,business,infographic,graph,analytics",mp4/Flow chart.mp4
Idea,"electronics,technology,illumination,idea,light",mp4/Idea.mp4
Stopwatch,"time,and,date,timer,stopwatch,chrono",mp4/Stopwatch.mp4
Complete,"box,shipping,and,delivery,check,package,delivery",mp4/Complete.mp4
Folder,"document,files,and,folders,file,folder",mp4/Folder.mp4
Street view,"people,maps,and,location",mp4/Street view.mp4
Sound,"ui,audio,sound",mp4/Sound.mp4
Warning,"security,signaling,screen,monitor,warning",mp4/Warning.mp4
Euro,"business,and,finance,business,money,currency,cash,coins",mp4/Euro.mp4
Fast backward,"orientation,arrows,direction,arrow",mp4/Fast backward.mp4
Book,"education,book,literature,reading,studying",mp4/Book.mp4
Fireworks,"celebration,birthday,and,party,new,year,fireworks",mp4/Fireworks.mp4
Monitor,"electronics,computer,seo,and,web,responsive,monitor,art,and,design,web,design",mp4/Monitor.mp4
Truck,"transportation,transport,vehicle,automobile,delivery,shipping,truck",mp4/Truck.mp4
Notification,"ui,alarm,bell,alert",mp4/Notification.mp4
Google maps,"direction,maps,and,location,gps",mp4/Google maps.mp4
Party,"celebration,smileys,emoji,emoticon,feeling,party",mp4/Party.mp4
Car,"transportation,transport,vehicle,automobile,car",mp4/Car.mp4
Bank,"business,and,finance,business,money,dollar,payment,bank",mp4/Bank.mp4
Alarm,"signaling,alarm,alert,danger",mp4/Alarm.mp4
Face scan,"user,security,biometric,identification,biometric,recognition",mp4/Face scan.mp4
settings,"ui,settings,options",mp4/settings.mp4
Earth,"maps,and,location,location,gps,worldwide,earth,planet",mp4/Earth.mp4
Left arrow,"orientation,arrows,direction",mp4/Left arrow.mp4
Connection,"user,business,and,finance,diagram,networking,connection",mp4/Connection.mp4
Price tag,"commerce,and,shopping,discount,sales,percentage",mp4/Price tag.mp4
Rain,"weather,meteorology,forecast,cloud,rain,rainy",mp4/Rain.mp4
Receipt,"business,and,finance",mp4/Receipt.mp4
Medicine,"healthcare,medicine,hospital,shapes,and,symbols,symbol,cross",mp4/Medicine.mp4
Map,"orientation,maps,and,location,map,geography",mp4/Map.mp4
Payment,"security,shield,secure,payment,credit,card",mp4/Payment.mp4
Qr code,"ui,ecommerce",mp4/Qr code.mp4
Speech bubble,"communications,message,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Travel,"travel,airplane,worldwide,planet,aeroplane",mp4/Travel.mp4
Folder,"security,document,file,protection,shield,check,safety,safe,folder,verified",mp4/Folder.mp4
Info,"maps,and,location,location,gps",mp4/Info.mp4
Internet,"security,shield,check,internet,earth",mp4/Internet.mp4
Pakistani,"user,avatar,people,man",mp4/Pakistani.mp4
Protection,"security,protection,shield,settings,gear",mp4/Protection.mp4
Happy,"smileys,emoji,emoticon,feeling,happy,smile,happiness",mp4/Happy.mp4
Copy,"security,technology,storage,multimedia,networking,network,server",mp4/Copy.mp4
Encryption,"security,screen,monitor,lock,networking",mp4/Encryption.mp4
Pallete,"box,shipping,and,delivery,package,delivery,warehouse",mp4/Pallete.mp4
24 hours,"box,shipping,and,delivery,shipping,parcel",mp4/24 hours.mp4
Smartphone,"electronics,security,technology,protection,shield,smartphone,check,phone,device,mobile",mp4/Smartphone.mp4
Burger,"food,and,restaurant,food,fast,food,junk,food,salad,menu",mp4/Burger.mp4
Medicine,"healthcare,and,medical,hand,healthcare,medicine,medical,care,cross",mp4/Medicine.mp4
School,"education,architecture,and,city,building,school",mp4/School.mp4
No,"hand,hands,and,gestures,gesture,animation,finger",mp4/No.mp4
Download,"orientation,arrows,direction,arrow,download",mp4/Download.mp4
Dollar,"business,and,finance,business,currency,cash,dollar,coins",mp4/Dollar.mp4
Stethoscope,"healthcare,and,medical,healthcare,medical,health",mp4/Stethoscope.mp4
Email,"security,shield,check,email",mp4/Email.mp4
Car,"transportation,transport,vehicle,automobile,car",mp4/Car.mp4
Cash,"business,and,finance,business,money,currency,cash,banking",mp4/Cash.mp4
Thunder,"weather,meteorology,forecast",mp4/Thunder.mp4
Cheque,"business,and,finance,business,money,banking,payment",mp4/Cheque.mp4
Two,"education,maths,mathematics,number",mp4/Two.mp4
User,"user,people",mp4/User.mp4
Notebook,"education,book,notebook,bookmark,agenda",mp4/Notebook.mp4
Edit,"ui,edit,tools,pencil",mp4/Edit.mp4
Pin,"maps,and,location,pin,location,placeholder",mp4/Pin.mp4
Map,"maps,and,location,location,gps,map",mp4/Map.mp4
Photo camera,"electronics,technology,photography,photo,camera",mp4/Photo camera.mp4
Signposts,"orientation,maps,and,location",mp4/Signposts.mp4
Growing,"business,and,finance,business,money,dollar",mp4/Growing.mp4
Money flow,"business,and,finance,business,dollar",mp4/Money flow.mp4
Online shopping,"commerce,and,shopping,browser,ecommerce",mp4/Online shopping.mp4
Exam,"education,business,and,finance",mp4/Exam.mp4
Diagram,"business,and,finance,diagram",mp4/Diagram.mp4
Ball,"sports,and,competition,sport,ball,football,soccer",mp4/Ball.mp4
Database,"security,shield,check,server",mp4/Database.mp4
Folders,"document,files,and,folders,file,storage",mp4/Folders.mp4
Okay,"hand,hands,and,gestures,gesture,animation,finger",mp4/Okay.mp4
Cutlery,"food,and,restaurant,kitchenware,kitchen,tool,kitchen,utensil,knife",mp4/Cutlery.mp4
Fingerprint scan,"security,biometric,identification,biometric,recognition",mp4/Fingerprint scan.mp4
Microphone,"music,and,multimedia,podcast,microphone,audio",mp4/Microphone.mp4
Microscope,"education,science,laboratory,lab",mp4/Microscope.mp4
Purse,"business,and,finance,money,cash",mp4/Purse.mp4
Printer,"electronics,technology",mp4/Printer.mp4
In love,"smileys,emoji,emoticon,feeling",mp4/In love.mp4
Photo camera,"electronics,technology,photo,camera",mp4/Photo camera.mp4
Shopping,"commerce,and,shopping,sales,shopping,purchase",mp4/Shopping.mp4
Loading,"electronics,technology,time,and,date,computer,screen,monitor",mp4/Loading.mp4
Bar chart,"business,and,finance,business,statistics,stats,marketing,bar,chart",mp4/Bar chart.mp4
Hexagonal,"business,and,finance,statistics,chart,stats,infographic,graph,analytics",mp4/Hexagonal.mp4
List,"ui,interface,list,menu",mp4/List.mp4
Credit,"business,and,finance,business,dollar,contract",mp4/Credit.mp4
University,"education,architecture,and,city,buildings,school",mp4/University.mp4
Privacy policy,"security,document,file,protection,shield,insurance",mp4/Privacy policy.mp4
Alarm,"time,and,date,time,clock,alarm",mp4/Alarm.mp4
Dog,"animals,animal,pet,dog",mp4/Dog.mp4
Three,"education,maths,mathematics,number",mp4/Three.mp4
Hot,"weather,meteorology,forecast,summer,sun,temperature,thermometer",mp4/Hot.mp4
Network,"security,shield,check,secure,network",mp4/Network.mp4
Pay per click,"commerce,and,shopping,business,shopping,ecommerce",mp4/Pay per click.mp4
Shopping basket,"commerce,and,shopping,commerce,supermarket",mp4/Shopping basket.mp4
Speech bubble,"communications,message,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Search,"maps,and,location,pin,location,search",mp4/Search.mp4
Blackboard,"education,abc,alphabet,abecedary,school,board",mp4/Blackboard.mp4
Sync,"orientation,arrows,direction,arrow",mp4/Sync.mp4
Download,"ui,interface,download",mp4/Download.mp4
Browser,"security,ui,protection,shield,check,seo,and,web,web,browser,website",mp4/Browser.mp4
Apple,"education,fruit,book,reading,school,apple,study",mp4/Apple.mp4
Gift,"celebration,christmas,birthday,and,party,xmas,present,gift",mp4/Gift.mp4
Infographic,"business,and,finance,business,infographic,graph,analytics",mp4/Infographic.mp4
Maths,"education,chat,interface,maths",mp4/Maths.mp4
Flag,"business,and,finance,flag,symbol,country",mp4/Flag.mp4
Cycling,"sports,and,competition,sport,transport",mp4/Cycling.mp4
Clipboard,"document,files,and,folders,file,clipboard",mp4/Clipboard.mp4
Trash,"ui,trash,garbage",mp4/Trash.mp4
Target,"miscellaneous,target",mp4/Target.mp4
Clouds,"weather,meteorology,forecast",mp4/Clouds.mp4
Bar chart,"business,and,finance,business,seo,and,web,statistics,stats,graph,graphic,bar,chart",mp4/Bar chart.mp4
Scanning,"security,eye,biometric,identification,biometric,recognition",mp4/Scanning.mp4
Dollar,"business,and,finance,business,currency,cash,dollar,coins",mp4/Dollar.mp4
List,"seo,and,web,web,list,browser,shopping",mp4/List.mp4
Arrow,"orientation,arrows,direction,arrow",mp4/Arrow.mp4
Diamond,"fashion,luxury,diamond",mp4/Diamond.mp4
Magnifying glass,"ui,magnifying,glass,search",mp4/Magnifying glass.mp4
Stock,"business,and,finance,diagram,chart",mp4/Stock.mp4
Up arrow,"orientation,arrows,direction,arrow,upload,up,arrow",mp4/Up arrow.mp4
Credit card,"business,and,finance,credit,card,payment,method,debit,card",mp4/Credit card.mp4
Bar chart,"business,and,finance,statistics,stats,analytics,bar,chart",mp4/Bar chart.mp4
Happy,"smileys,emoji,emoticon,feeling,happy,smile,happiness",mp4/Happy.mp4
Online security,"security,shield,check,network",mp4/Online security.mp4
Sad,"smileys,emoji,emoticon,feeling,sad,sadness",mp4/Sad.mp4
Wind,"weather,meteorology,forecast,wind,windy",mp4/Wind.mp4
Push pin,"maps,and,location",mp4/Push pin.mp4
Crayons,"education,art,and,design,stationery,painting",mp4/Crayons.mp4
Book,"education,book,literature,reading,library,studying,idea",mp4/Book.mp4
Boat,"transport,shipping,and,delivery,boat,delivery,ship,sailing,container",mp4/Boat.mp4
Options,"ui,settings,options",mp4/Options.mp4
Lock,"security,protection,lock,padlock,password,privacy",mp4/Lock.mp4
Startup,"computer,screen,laptop,marketing",mp4/Startup.mp4
Music,"music,and,multimedia,music,song,quaver",mp4/Music.mp4
Upload,"security,shield,seo,and,web,secure,cloud,networking,upload,up,arrow",mp4/Upload.mp4
Shopping bag,"commerce,and,shopping,commerce,purchase",mp4/Shopping bag.mp4
Left arrow,"orientation,arrows,direction,arrow",mp4/Left arrow.mp4
Search,"security,magnifying,glass,bug,search,virus,loupe",mp4/Search.mp4
Id-badge,"user,identification",mp4/Id-badge.mp4
Thumbs down,"hand,gesture,animation,marketing",mp4/Thumbs down.mp4
Cash,"business,and,finance,money,currency,cash",mp4/Cash.mp4
Flask,"education,healthcare,and,medical,science,chemistry",mp4/Flask.mp4
Box,"box,shipping,and,delivery,package,storage,shipping,packaging",mp4/Box.mp4
Speedometer,"transportation,business,and,finance,performance,speedometer,speed,meter,velocity,efficiency",mp4/Speedometer.mp4
Login,"security,check,laptop,lock",mp4/Login.mp4
Paper,"education,maths,paper",mp4/Paper.mp4
Email,"ui,message,email,dm",mp4/Email.mp4
Tv,"electronics,monitor",mp4/Tv.mp4
Teacher desk,"education,furniture,and,household,chair",mp4/Teacher desk.mp4
Night,"weather,meteorology,star,moon",mp4/Night.mp4
Locations,"maps,and,location,pin,placeholder",mp4/Locations.mp4
Exchange,"business,and,finance,money,currency,dollar,exchange",mp4/Exchange.mp4
Blueprint,"architecture,and,city,construction,and,tools,architecture",mp4/Blueprint.mp4
Setting,"seo,and,web,web,browser,website,settings,options,web,development",mp4/Setting.mp4
Warehouse,"shipping,and,delivery,factory,storage,warehouse",mp4/Warehouse.mp4
Cloudy,"weather,meteorology,forecast,cloud,sun",mp4/Cloudy.mp4
Airplane,"travel,holidays,airplane,vacations,trip,journey,aeroplane",mp4/Airplane.mp4
Event,"time,and,date,time,calendar,timer,clock",mp4/Event.mp4
Chemistry,"education,science,chemistry",mp4/Chemistry.mp4
Image,"document,files,and,folders,file,archive,picture,image",mp4/Image.mp4
Four,"education,maths,mathematics,number",mp4/Four.mp4
Credit card,"commerce,and,shopping,business,shopping,credit,card,payment,method,debit,card",mp4/Credit card.mp4
Arm wrestling,"hand,hands,and,gestures,gesture,animation",mp4/Arm wrestling.mp4
Car,"transportation,transport,vehicle,automobile,car",mp4/Car.mp4
Syringe,"healthcare,and,medical,medicine,drugs",mp4/Syringe.mp4
Global warming,"ecology,and,environment,weather,world,temperature,thermometer",mp4/Global warming.mp4
Hospital,"healthcare,and,medical,building,medical,care,hospital,emergency,clinic",mp4/Hospital.mp4
3d cube,"education,shapes,and,symbols",mp4/3d cube.mp4
Wink,"smileys,emoji,emoticon,feeling,expression",mp4/Wink.mp4
Slide,"hand,hands,and,gestures,gesture,animation,finger",mp4/Slide.mp4
Emergency call,"communications,hospital,phone,call",mp4/Emergency call.mp4
Certificate,"education,security,file,contract,degree",mp4/Certificate.mp4
Pie chart,"business,and,finance,diagram,statistics,graph",mp4/Pie chart.mp4
Password,"security,password",mp4/Password.mp4
Medicine,"healthcare,medicine,sign,hospital,shapes,and,symbols,pharmacy",mp4/Medicine.mp4
Idea,"education,idea,lightbulb,art,and,design,pencil",mp4/Idea.mp4
Smartphone,"business,and,finance,smartphone,credit,card,payment,method",mp4/Smartphone.mp4
Payment,"business,and,finance,business,money,cash,payment",mp4/Payment.mp4
Login ,"user,ui",mp4/Login .mp4
Love,"hand,hands,and,gestures,gesture,love,animation,finger",mp4/Love.mp4
Camera,"electronics,security,camera",mp4/Camera.mp4
Drop,"weather,meteorology,forecast,rain,drop,rainy",mp4/Drop.mp4
Finger pointing,"hand,hands,and,gestures,gesture,animation",mp4/Finger pointing.mp4
Worldwide,"maps,and,location,pin,gps,placeholder,worldwide",mp4/Worldwide.mp4
Flow chart,"business,and,finance,ui,diagram,graph,networking",mp4/Flow chart.mp4
Skyline,"architecture,and,city,buildings,architecture",mp4/Skyline.mp4
Folder,"files,and,folders,file,medical,folder",mp4/Folder.mp4
Hitchhiker,"hand,hands,and,gestures,gesture,animation",mp4/Hitchhiker.mp4
Balance,"business,and,finance,business,statistics,stats,analytics,infography,balance",mp4/Balance.mp4
Key,"security,access,key",mp4/Key.mp4
Cooking,"food,and,restaurant,kitchenware,kitchen,tool,cooking",mp4/Cooking.mp4
Padlock,"security,check,screen,lock,padlock",mp4/Padlock.mp4
Promote,marketing,mp4/Promote.mp4
Music note,"music,and,multimedia,song,quaver",mp4/Music note.mp4
Stethoscope,"healthcare,and,medical,healthcare,medical",mp4/Stethoscope.mp4
Virus,"security,computer,screen,seo,and,web,browser,bug,coding,virus,malware",mp4/Virus.mp4
Account,"user,security,ui,protection,shield,protect",mp4/Account.mp4
Folder,"security,files,and,folders,secure,lock,folder,locked",mp4/Folder.mp4
Landing page,"interface,seo,and,web,responsive,browser,website,web,design",mp4/Landing page.mp4
Five,"education,maths,mathematics,number",mp4/Five.mp4
Responsive,"electronics,technology,smartphone,screen,responsive,tablet,phone,device,devices",mp4/Responsive.mp4
Unboxing,"shipping,and,delivery,package",mp4/Unboxing.mp4
Radar,"technology,maps,and,location,radar,position",mp4/Radar.mp4
Wallet,"business,and,finance,business",mp4/Wallet.mp4
Shopping cart,"commerce,and,shopping,ecommerce,shopping,cart,supermarket",mp4/Shopping cart.mp4
Letter x,"education,abc,alphabet,abecedary",mp4/Letter x.mp4
Speedometer,"time,and,date,time,limit,performance,speedometer,speed,meter,velocity,efficiency",mp4/Speedometer.mp4
Responsive,"electronics,interface,screen,responsive,web,internet,web,design,responsive,design",mp4/Responsive.mp4
Pen,"education,stationery",mp4/Pen.mp4
Storm,"weather,meteorology,forecast,cloud",mp4/Storm.mp4
Layers,"business,and,finance,diagram,statistics,chart,stats,analytics,graphic",mp4/Layers.mp4
Browser,"ui,interface,computer,screen,seo,and,web,monitor,web,browser,website,multimedia,coding",mp4/Browser.mp4
Logout,"arrows,arrow,ui,interface",mp4/Logout.mp4
alarm,"ui,alarm,bell,ring",mp4/alarm.mp4
Salad,"food,and,restaurant,vegan,healthy,food,vegetarian,diet,dish,salad",mp4/Salad.mp4
Sunrise,"weather,meteorology,sun,sunset",mp4/Sunrise.mp4
Smartphone,"maps,and,location,pin,smartphone,location,mobile,phone,cellphone",mp4/Smartphone.mp4
Sleep,"smileys,emoji,emoticon,feeling,sleep",mp4/Sleep.mp4
Compass,"orientation,maps,and,location,gps",mp4/Compass.mp4
Infographic elements,"business,and,finance,list,infographic",mp4/Infographic elements.mp4
Wifi,"security,protection,shield,secure,internet",mp4/Wifi.mp4
Crane,"box,shipping,and,delivery,crane,container,lift",mp4/Crane.mp4
Pie chart,"business,and,finance,business,statistics,chart,graph",mp4/Pie chart.mp4
Location,"maps,and,location,pin,location,placeholder,favorite",mp4/Location.mp4
Happy,"smileys,emoji,emoticon,happy",mp4/Happy.mp4
Rain,"weather,meteorology,forecast,cloud,rain,sun",mp4/Rain.mp4
Cold,"weather,winter,meteorology,snow,forecast,temperature,thermometer",mp4/Cold.mp4
Timeline,"business,and,finance,pin,location,placeholder,map,pointer",mp4/Timeline.mp4
Fitness,"sports,and,competition,fitness",mp4/Fitness.mp4
Abacus,"education,kid,and,baby,maths,childhood,toy",mp4/Abacus.mp4
Search,"document,files,and,folders,file,sheet,magnifying,glass,search",mp4/Search.mp4
Shield,"electronics,security,protection,shield,check,computer,laptop,safety,safe,insurance",mp4/Shield.mp4
Speech bubble,"user,communications,message,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Steps,"business,and,finance,diagram,statistics,chart,stats,infographic,graph,analytics",mp4/Steps.mp4
Satellite,"technology,communications,connection",mp4/Satellite.mp4
Train,"transportation,transport,vehicle,automobile,public,transport,train",mp4/Train.mp4
Digger,"transportation,transport,construction",mp4/Digger.mp4
Controls,ui,mp4/Controls.mp4
Search,"education,book,literature,reading,library,studying,search",mp4/Search.mp4
Import,"orientation,arrows,direction,arrow",mp4/Import.mp4
Baby boy,"user,avatar,people,kid,and,baby",mp4/Baby boy.mp4
Solar system,"education,miscellaneous,nature,space,sun",mp4/Solar system.mp4
Fireworks ,"celebration,birthday,and,party,party,new,year,fireworks,celebrate",mp4/Fireworks .mp4
Hit,"hand,hands,and,gestures,gesture,animation,hit",mp4/Hit.mp4
Balloons,"celebration,birthday,and,party,birthday,balloons",mp4/Balloons.mp4
Up right arrow,"orientation,arrows,direction,arrow",mp4/Up right arrow.mp4
Pictures,"document,files,and,folders,file,image",mp4/Pictures.mp4
Dna strand,"healthcare,and,medical",mp4/Dna strand.mp4
Funnel,"business,and,finance,diagram,statistics,chart,graph,analytics",mp4/Funnel.mp4
Atm,"business,and,finance,money,cash,banking",mp4/Atm.mp4
Exchange,"business,and,finance,money,currency,cash,exchange",mp4/Exchange.mp4
Ambulance,"healthcare,and,medical,transport,vehicle,automobile,medical,emergency",mp4/Ambulance.mp4
Drizzle,"weather,meteorology,forecast,cloud,rain",mp4/Drizzle.mp4
Online learning,"education,maths,mobile,phone",mp4/Online learning.mp4
Notification bell,"education,music,and,multimedia,alarm,ring,alert",mp4/Notification bell.mp4
Factory,"architecture,and,city,buildings,urban,industry,factory",mp4/Factory.mp4
Delivery,"box,shipping,and,delivery,package,delivery,parcel,forbidden,prohibition",mp4/Delivery.mp4
Download,"security,shield,check,cloud,download",mp4/Download.mp4
Man,"user,avatar,people,man",mp4/Man.mp4
Online banking,"business,and,finance,business,money,payment",mp4/Online banking.mp4
Barcode,"miscellaneous,shopping",mp4/Barcode.mp4
Policeman,"user,avatar,security,man,professions,and,jobs",mp4/Policeman.mp4
Sunny,"weather,house,home,summer,sun",mp4/Sunny.mp4
Turn right,"orientation,arrows,direction,arrow",mp4/Turn right.mp4
Arrows,"business,and,finance,arrows,business,statistics,chart,stats,graphic,bar,chart",mp4/Arrows.mp4
Bus,"transportation,transport,vehicle,automobile,public,transport",mp4/Bus.mp4
Microscope,"education,science,medical",mp4/Microscope.mp4
Snowflake,"weather,winter,meteorology,snow,forecast",mp4/Snowflake.mp4
Relation,"business,and,finance,diagram,chart,infography",mp4/Relation.mp4
Cloud protection,"security,shield,seo,and,web,secure",mp4/Cloud protection.mp4
Filter,"ui,interface",mp4/Filter.mp4
Email,"files,and,folders,message,email,dm,envelope",mp4/Email.mp4
Tap,"furniture,and,household,water,drop",mp4/Tap.mp4
Bar chart,"business,and,finance,diagram,bar,chart",mp4/Bar chart.mp4
Route,"maps,and,location,location,gps,position,route",mp4/Route.mp4
Battery,"electronics,technology,energy",mp4/Battery.mp4
Monitor,"edit,tools,graphic,design,design,computer,screen,monitor,art,and,design,art",mp4/Monitor.mp4
Music,"music,and,multimedia,music,song,quaver",mp4/Music.mp4
Bookmark,"ui,interface,favorite,bookmark",mp4/Bookmark.mp4
Crown,"miscellaneous,crown,king",mp4/Crown.mp4
Tablet,"healthcare,and,medical,healthcare,medicine,tablet,medicament,medical,care,painkiller,jar",mp4/Tablet.mp4
Ewallet,"business,and,finance,business,money,banking,payment",mp4/Ewallet.mp4
Face scan,"user,security,smartphone,mobile,phone,biometric,identification,biometric,recognition",mp4/Face scan.mp4
Pocket Watch,"time,and,date,timer,clock,accessory",mp4/Pocket Watch.mp4
